company,close_price
The Bank of Nevis Ltd,3.0
Bank of St Vincent and the Grenadines Ltd,11.4
Cable & Wireless St Kitts & Nevis Ltd,3.79
Dominica Electricity Services Ltd,4.25
East Caribbean Financial Holding Company Ltd,12.5
Grenada Co-operative Bank Ltd,9.25
Grenada Electricity Services Ltd,10.9
Grenreal Property Corporation Ltd,4.85
St Kitts Nevis Anguilla National Bank Ltd,2.8
St Lucia Electricity Services Ltd,23.95
S. L. Horsford & Company Ltd,2.0
TDC Ltd,1.2
The West Indies Oil Company Ltd,60.0
